City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,coihaique,-45.5752,-72.0662,2.97,93,100,4.12,CL,2023-07-03 21:59:49
94,port huron,42.9709,-82.4249,26.41,73,0,6.17,US,2023-07-03 21:59:49
95,port alfred,-33.5906,26.891,12.88,95,66,0.89,ZA,2023-07-03 21:59:49
96,marabba,12.35,32.1833,31.27,46,45,3.68,SD,2023-07-03 21:59:49
97,codrington,-38.2667,141.9667,8.28,97,100,2.06,AU,2023-07-03 21:59:49
98,komsomolskiy,40.4272,71.7189,26.4,34,80,3.09,UZ,2023-07-03 21:59:49
99,faya,18.3851,42.4509,23.06,35,31,0.75,SA,2023-07-03 21:59:50
100,kirando,-7.4167,30.6,21.61,50,0,3.93,TZ,2023-07-03 21:59:50
101,port blair,11.6667,92.75,26.02,83,40,6.17,IN,2023-07-03 21:59:50
102,talnakh,69.4865,88.3972,15.67,63,85,0.76,RU,2023-07-03 21:59:50
103,berlevag,70.8578,29.0864,8.0,93,100,2.06,NO,2023-07-03 21:59:50
104,raton,36.9034,-104.4391,28.98,16,9,3.78,US,2023-07-03 21:59:50
105,saint george,37.1041,-113.5841,43.01,9,1,3.58,US,2023-07-03 21:59:51
106,port elizabeth,-33.918,25.5701,13.51,97,20,4.12,ZA,2023-07-03 21:58:08
107,bilibino,68.0546,166.4372,11.25,91,100,1.57,RU,2023-07-03 21:59:51
108,yulara,-25.2406,130.9889,6.94,83,0,2.33,AU,2023-07-03 21:59:51
109,janesville,42.6828,-89.0187,32.14,47,18,1.14,US,2023-07-03 21:59:51
110,chuy,-33.6971,-53.4616,14.73,94,52,2.56,UY,2023-07-03 21:59:51
111,orito,0.6766,-76.8771,27.66,77,79,0.44,CO,2023-07-03 21:59:52
112,longyearbyen,78.2186,15.6401,10.91,43,0,6.69,SJ,2023-07-03 21:57:34
113,narok,-1.0783,35.8601,13.54,84,98,3.21,KE,2023-07-03 21:59:52
114,lebu,-37.6167,-73.65,12.44,84,92,8.01,CL,2023-07-03 21:59:52
115,sao filipe,14.8961,-24.4956,24.89,77,43,3.41,CV,2023-07-03 21:59:52
116,victor harbor,-35.5667,138.6167,8.16,89,40,2.85,AU,2023-07-03 21:59:53
117,inta,66.0317,60.1659,15.56,91,65,3.05,RU,2023-07-03 21:59:53
118,abancay,-13.6339,-72.8814,21.01,42,4,3.04,PE,2023-07-03 21:59:53
119,gejiu,23.306,103.1635,14.76,98,100,1.45,CN,2023-07-03 21:59:53
120,sibolga,1.7427,98.7792,24.81,87,95,0.94,ID,2023-07-03 21:59:53
121,erzin,36.9559,36.2,22.79,88,10,0.25,TR,2023-07-03 21:59:54
122,lagoa,39.05,-27.9833,19.33,67,67,2.4,PT,2023-07-03 21:56:27
123,sivas,39.7916,37.0019,17.9,56,47,2.07,TR,2023-07-03 21:53:19
124,mae ramat,16.984,98.5166,23.28,100,100,0.7,TH,2023-07-03 21:59:54
125,porbandar,21.6422,69.6093,28.26,85,100,4.68,IN,2023-07-03 21:58:22
